ID,present_skills,missing_skills
16852973,"['data analysis', 'statistics']","['sql', 'machine learning', 'nlp', 'excel', 'python']"
22323967,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
33176873,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
27018550,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
17812897,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
11592605,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
25824789,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
15375009,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
11847784,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
32896934,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
29149998,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
11480899,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
23155093,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
11763983,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
27490876,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
32977530,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
93002334,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
24184357,"['excel', 'statistics']","['sql', 'machine learning', 'data analysis', 'nlp', 'python']"
73077810,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
13879043,['data analysis'],"['sql', 'machine learning', 'nlp', 'statistics', 'excel', 'python']"
30163002,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18827609,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
25676643,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
12786012,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
87968870,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
46258701,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
14225422,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
29297973,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18334783,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
19717385,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
49937469,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18316239,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
17855844,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
57667857,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
17422560,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
32947778,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
23914451,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
21265194,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
51769822,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
19616406,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
41523474,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
59962788,['sql'],"['machine learning', 'data analysis', 'nlp', 'statistics', 'excel', 'python']"
86184722,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
28419173,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18155310,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
26780935,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
34554248,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
26202430,"['data analysis', 'excel']","['sql', 'machine learning', 'nlp', 'statistics', 'python']"
19867922,['data analysis'],"['sql', 'machine learning', 'nlp', 'statistics', 'excel', 'python']"
91930382,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
30646367,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
39650734,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
72231872,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
13520837,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18422164,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
30862904,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
52979663,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
28828844,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
21830565,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
27523575,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
39081840,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
20925036,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
15576950,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
29564653,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
14886205,"['excel', 'statistics']","['sql', 'machine learning', 'data analysis', 'nlp', 'python']"
17412079,"['data analysis', 'excel']","['sql', 'machine learning', 'nlp', 'statistics', 'python']"
16861758,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
93112113,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
15041689,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
80162314,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
20993320,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
14640322,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
26289308,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
23408537,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
28808263,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18084150,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
26671167,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
44476983,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
16877897,"['sql', 'excel']","['machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
29091445,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
25724495,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
24508725,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
11698189,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
27165830,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
47470864,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
34740556,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18557164,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
19179079,"['excel', 'statistics']","['sql', 'machine learning', 'data analysis', 'nlp', 'python']"
13376919,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
26048718,"['excel', 'statistics']","['sql', 'machine learning', 'data analysis', 'nlp', 'python']"
17150707,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
18297650,"['sql', 'excel']","['machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
23510685,"['data analysis', 'excel']","['sql', 'machine learning', 'nlp', 'statistics', 'python']"
39970711,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
20806155,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
28640735,[],"['machine learning', 'data analysis', 'nlp', 'sql', 'statistics', 'excel', 'python']"
15575117,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
27496514,"['data analysis', 'excel']","['sql', 'machine learning', 'nlp', 'statistics', 'python']"
14256329,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
19336728,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
10694288,['excel'],"['sql', 'machine learning', 'data analysis', 'nlp', 'statistics', 'python']"
